CustomerID,Age,Gender,AnnualIncome_k,SpendingScore,PurchaseFrequency,MembershipYears
1142,46,Female,84.3,12,9,3.8
1143,55,Male,59.0,63,6,5.2
1144,27,Female,30.6,51,4,0.1
1145,41,Male,48.2,49,10,4.3
1146,39,Female,46.1,19,6,0.2
1147,22,Female,55.7,10,8,2.3
1148,45,Male,83.5,5,4,1.2
1149,30,Male,33.2,28,7,3.8
1150,59,Female,55.9,62,4,1.3
1151,29,Male,42.2,49,5,0.2
1152,24,Male,52.6,26,5,6.1
1153,51,Female,61.0,3,6,3.6
1154,39,Male,37.3,42,8,6.4
1155,39,Male,52.4,17,3,5.0
1156,48,Male,52.0,60,2,3.8
1157,61,Female,109.7,66,1,6.3
1158,46,Female,103.7,45,6,4.7
1159,30,Female,38.3,99,10,4.0
1160,30,Male,58.2,31,7,2.9
1161,63,Female,78.5,70,8,6.6
1162,54,Male,68.2,47,7,6.2
1163,25,Male,72.4,39,8,3.3
1164,39,Male,65.6,91,9,1.8
1165,59,Female,57.4,76,6,1.2
1166,56,Male,25.4,68,10,4.2
1167,33,Male,71.2,59,11,5.7
1168,61,Female,67.1,34,3,2.2
1169,36,Male,37.8,59,6,6.2
1170,46,Female,53.8,64,3,7.8
1171,34,Male,36.3,89,3,1.8
1172,23,Male,70.4,53,4,0.3
1173,53,Male,59.7,15,6,7.7
1174,31,Male,77.3,53,3,2.5
1175,50,Female,61.9,50,5,4.5
1176,41,Male,45.9,82,9,4.7
1177,49,Female,72.8,33,6,6.3
1178,51,Male,27.5,66,8,6.6
1179,63,Female,37.5,37,4,3.2
1180,58,Male,31.7,64,5,4.3
1181,45,Female,36.3,49,10,6.3
1182,32,Male,64.3,25,6,5.2
1183,63,Male,38.6,26,4,7.3
1184,59,Female,60.6,21,4,1.0
1185,60,Female,86.5,22,8,3.1
1186,50,Male,33.7,86,13,0.9
1187,52,Male,37.0,15,5,2.7
1188,49,Female,26.0,27,6,6.2
1189,56,Female,17.6,78,6,7.2
1190,36,Female,45.5,93,9,3.6
1191,27,Female,60.8,54,3,6.5
1192,27,Female,60.0,1,8,5.5
1193,31,Male,,12,5,2.2
1194,39,Female,34.1,50,10,2.1
1195,61,Male,94.7,66,9,6.7
1196,19,Female,41.1,9,5,1.2
1197,49,Male,85.9,42,5,1.8
1198,32,Male,108.9,90,3,0.0
1199,34,Male,84.6,75,10,4.5
1200,43,Female,63.0,89,3,2.1
1201,64,Male,,97,6,1.5
1202,51,Female,54.7,70,4,6.1
1203,39,Female,58.5,75,4,7.0
1204,37,Male,56.7,5,9,5.6
1205,36,Male,73.4,65,8,5.9
1206,18,Female,35.6,83,3,6.7
1207,31,Male,57.3,25,6,2.2
1208,28,Female,85.9,1,3,6.5
1209,45,Female,73.3,65,4,3.4
1210,46,Female,56.6,62,5,3.3
1211,26,Female,54.6,26,7,5.7
1212,51,Male,15.0,74,4,3.2
1213,54,Male,71.9,38,6,4.5
1214,43,Male,32.3,27,5,0.3
1215,62,Female,44.3,45,7,3.2
1216,60,Female,80.7,64,7,6.0
1217,46,Female,63.0,52,4,2.5
1218,25,Female,63.5,64,6,7.2
1219,33,Female,26.1,99,5,0.7
1220,18,Male,77.8,10,6,4.9
1221,36,Male,31.4,20,5,4.4
1222,57,Male,76.6,38,11,7.0
1223,62,Male,67.4,17,5,5.3
1224,18,Female,45.8,60,5,4.1
1225,62,Male,57.8,22,6,2.8
1226,27,Female,71.8,95,6,4.4
1227,64,Female,54.4,56,9,1.0
1228,52,Male,24.9,70,7,2.0
1229,61,Female,56.5,28,7,5.7
1230,23,Male,35.5,56,13,0.4
1231,39,Female,51.6,6,4,1.1
1232,34,Male,70.5,14,7,4.7
1233,59,Male,40.9,4,4,4.9
1234,29,Female,26.8,20,9,4.3
1235,60,Male,65.6,10,1,4.7
1236,50,Male,24.1,11,11,5.6
1237,58,Male,24.5,44,7,3.6
1238,54,Female,48.0,26,6,2.4
1239,23,Female,72.5,72,5,6.2
1240,46,Female,69.4,61,8,3.8
1241,61,Male,38.3,3,9,6.9
1242,47,Female,44.5,93,6,3.6
1243,64,Male,77.1,40,13,2.2
1244,60,Female,45.4,60,7,4.0
1245,49,Female,89.1,13,12,3.7
1246,25,Female,44.7,17,9,7.7
1247,46,Female,38.0,31,6,7.5
1248,32,Male,59.6,91,7,0.3
1249,31,Female,101.1,51,4,4.3
1250,37,Male,58.1,9,5,2.5
1251,59,Female,44.3,19,7,5.8
1252,31,Male,49.1,99,6,5.3
1253,42,Female,50.3,81,3,5.6
1254,21,Female,58.0,88,7,3.9
1255,25,Male,66.0,24,7,3.5
1256,60,Female,80.8,4,7,1.4
1257,50,Male,27.7,48,4,1.7
1258,51,Male,62.0,86,7,1.8
1259,29,Male,31.8,59,2,1.7
1260,45,Male,34.0,50,7,2.8
1261,22,Male,49.8,93,5,6.7
1262,56,Female,101.3,18,3,1.4
1263,49,Male,89.4,50,3,2.7
1264,48,Female,19.9,21,6,4.5
1265,32,Male,36.4,42,4,0.9
1266,62,Male,76.6,46,9,6.7
1267,61,Female,56.2,6,7,2.2
1268,30,Male,24.0,52,9,1.2
1269,34,Male,66.3,20,8,4.4
1270,44,Female,37.2,97,5,1.8
1271,50,Male,32.5,35,3,1.9
1272,61,Male,32.6,48,5,0.6
1273,51,Male,37.2,51,2,2.2
1274,26,Female,69.4,29,6,5.5
1275,48,Female,80.6,79,6,3.7
1276,51,Female,46.6,11,9,3.6
1277,33,Male,45.9,69,5,6.4
1278,40,Female,66.0,72,8,4.2
1279,52,Male,85.2,42,8,5.5
1280,30,Male,47.6,57,11,2.5
1281,22,Female,84.7,1,7,2.8
1282,62,Male,46.0,26,6,2.6
1283,38,Female,80.7,67,12,2.2
1284,61,Male,58.5,82,11,0.9
1285,36,Male,86.6,93,8,2.6
1286,39,Female,18.8,93,7,2.5
1287,40,Male,49.4,82,10,5.1
1288,36,Male,69.0,27,7,1.6
1289,23,Male,32.1,26,2,6.1
1290,57,Male,74.7,27,8,0.2
1291,23,Female,15.0,83,5,4.0
1292,23,Female,44.2,67,4,6.8
1293,24,Male,64.4,1,3,1.1
1294,49,Female,44.6,55,7,2.4
1295,47,Male,46.2,51,8,6.0
1296,34,Female,70.6,61,5,0.9
1297,60,Female,73.2,17,4,7.7
1298,64,Female,76.6,55,4,5.2
1299,22,Male,67.3,1,9,2.1
1300,64,Female,62.7,89,4,6.6
1301,56,Male,98.5,83,7,5.9
1302,31,Male,34.0,17,5,4.0
1303,20,Male,53.4,1,4,1.0
1304,30,Female,43.3,63,5,0.5
1305,42,Female,36.0,7,10,0.6
1306,45,Female,57.4,49,7,1.4
1307,34,Male,57.2,63,5,2.9
1308,64,Female,34.2,31,4,2.7
1309,23,Male,70.3,20,6,5.4
1310,58,Female,24.8,8,5,3.2
1311,47,Female,95.9,55,8,4.5
1312,27,Female,37.5,43,4,0.3
1313,62,Male,29.9,93,3,2.4
1314,57,Female,70.1,60,5,6.1
1315,32,Male,60.6,92,8,5.8
1316,24,Male,51.8,80,6,6.5
1317,20,Male,91.5,76,7,6.9
1318,55,Female,75.6,96,4,1.9
1319,40,Male,25.8,39,5,1.9
1320,64,Female,34.7,26,6,7.0
1321,27,Female,40.4,36,5,1.8
1322,53,Male,69.0,23,9,7.3
1323,33,Male,47.0,18,6,5.5
1324,38,Female,90.6,4,7,3.4
1325,50,Male,57.3,26,7,6.9
1326,53,Female,60.1,71,7,2.1
1327,39,Female,67.1,7,5,0.5
1328,24,Female,58.5,71,8,4.3
1329,38,Male,18.6,55,3,3.1
1330,18,Male,66.0,77,7,5.7
1331,38,Female,64.2,61,7,3.5
1332,51,Female,70.0,49,4,0.6
1333,39,Male,81.8,94,7,2.4
1334,20,Female,31.0,87,6,5.8
1335,29,Male,40.0,86,4,8.0
1336,29,Male,67.3,55,12,4.2
1337,54,Male,56.0,62,5,3.8
1338,26,Female,21.5,75,7,6.5
1339,63,Male,83.6,75,4,7.7
1340,61,Female,21.5,68,3,5.5
1341,25,Female,71.8,82,7,5.1
1342,25,Male,53.7,86,8,6.1
1343,39,Female,58.8,32,9,7.9
1344,37,Male,76.5,58,5,3.2
1345,57,Male,45.7,62,6,6.1
1346,40,Female,75.9,53,7,0.6
1347,63,Female,19.1,59,8,4.5
1348,53,Female,,26,9,5.9
1349,35,Female,58.5,14,5,4.0
1350,51,Male,66.8,10,13,5.9
1351,26,Male,65.8,17,9,7.4
1352,33,Male,61.0,74,5,6.3
1353,28,Female,98.2,84,4,2.3
1354,36,Female,38.4,78,5,7.1
1355,45,Female,46.4,34,7,3.5
1356,35,Male,77.1,95,4,7.2
1357,44,Female,43.9,18,5,1.6
1358,57,Female,23.5,11,4,6.9
1359,18,Female,113.8,22,6,5.1
1360,26,Female,45.3,1,7,7.2
1361,31,Male,45.0,9,13,7.9
1362,42,Male,35.0,36,6,6.3
1363,30,Male,70.8,34,4,7.7
1364,52,Female,60.7,55,4,3.2
1365,21,Female,49.4,91,6,5.0
1366,50,Male,26.0,99,8,4.5
1367,44,Male,39.9,83,5,1.4
1368,35,Male,70.5,19,6,4.4
1369,29,Female,56.8,20,8,0.3
1370,19,Male,37.6,44,9,5.4
1371,55,Male,15.0,37,5,0.3
1372,55,Female,58.2,89,6,6.4
1373,27,Female,59.5,96,4,5.8
1374,45,Female,68.5,56,2,4.0
1375,37,Female,,65,6,2.0
1376,61,Male,52.6,16,6,7.7
1377,38,Male,64.8,99,2,1.1
1378,20,Female,32.5,6,5,6.4
1379,26,Female,44.8,41,13,7.1
1380,38,Female,32.5,41,8,6.4
1381,28,Female,,30,6,4.0
1382,50,Male,47.0,11,7,1.4
1383,63,Female,74.0,94,5,0.8
1384,20,Female,27.4,37,3,7.3
1385,40,Male,50.4,95,10,2.5
1386,21,Female,15.0,31,3,7.9
1387,59,Male,49.0,75,7,7.1
1388,46,Female,,4,8,7.5
1389,33,Male,37.0,46,5,3.1
1390,63,Male,44.1,52,5,2.8
1391,56,Male,32.2,46,5,3.9
1392,27,Female,25.6,27,5,7.4
1393,59,Male,58.3,70,10,7.8
1394,59,Female,77.1,82,9,2.9
1395,54,Female,21.6,63,5,0.8
1396,58,Female,52.2,29,8,1.4
1397,30,Female,44.5,69,4,2.8
1398,52,Female,52.4,30,4,5.0
1399,54,Male,61.7,1,4,1.4
1400,40,Female,,87,8,6.4
